from	to	fre
original_glrlm_ShortRunHighGrayLevelEmphasis	PPM1A	1
original_glrlm_ShortRunHighGrayLevelEmphasis	RPL29	1
original_glrlm_ShortRunHighGrayLevelEmphasis	RPS3A	4
original_glrlm_ShortRunHighGrayLevelEmphasis	SH3KBP1	3
original_glrlm_ShortRunHighGrayLevelEmphasis	SVIL	3
original_glrlm_ShortRunHighGrayLevelEmphasis	THBS3	2
original_glrlm_ShortRunHighGrayLevelEmphasis	ZDHHC18	1
original_glszm_SizeZoneNonUniformity	LDHC	1
original_glszm_SizeZoneNonUniformity	ABHD12	1
original_glszm_SizeZoneNonUniformity	AHR	1
original_glszm_SizeZoneNonUniformity	ASAP3	3
original_glszm_SizeZoneNonUniformity	CLASP1	3
original_glszm_SizeZoneNonUniformity	COCH	2
original_glszm_SizeZoneNonUniformity	COL21A1	2
original_glszm_SizeZoneNonUniformity	COL7A1	2
original_glszm_SizeZoneNonUniformity	CYP26B1	1
original_glszm_SizeZoneNonUniformity	DLX5	2
original_glszm_SizeZoneNonUniformity	FOXC1	2
original_glszm_SizeZoneNonUniformity	GCK	1
original_glszm_SizeZoneNonUniformity	HBG2	2
original_glszm_SizeZoneNonUniformity	HBZ	2
original_glszm_SizeZoneNonUniformity	IDH2	1
original_glszm_SizeZoneNonUniformity	IKBKG	1
original_glszm_SizeZoneNonUniformity	ITGAV	4
original_glszm_SizeZoneNonUniformity	IYD	2
original_glszm_SizeZoneNonUniformity	LOXHD1	2
original_glszm_SizeZoneNonUniformity	MEF2D	2
original_glszm_SizeZoneNonUniformity	MMP14	2
original_glszm_SizeZoneNonUniformity	MTOR	1
original_glszm_SizeZoneNonUniformity	NLRP1	1
original_glszm_SizeZoneNonUniformity	PFKL	1
original_glszm_SizeZoneNonUniformity	PI4KA	3
original_glszm_SizeZoneNonUniformity	PIGO	1
original_glszm_SizeZoneNonUniformity	PIK3CA	1
original_glszm_SizeZoneNonUniformity	PPM1A	1
original_glszm_SizeZoneNonUniformity	RPL29	1
original_glszm_SizeZoneNonUniformity	RPS3A	4
original_glszm_SizeZoneNonUniformity	SH3KBP1	3
original_glszm_SizeZoneNonUniformity	SVIL	3
original_glszm_SizeZoneNonUniformity	THBS3	2
original_glszm_SizeZoneNonUniformity	ZDHHC18	1
original_glszm_SmallAreaEmphasis	LDHC	1
