V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25
7.11558	0.06692	4.2781	53.83466	0.21874	0.31152	0.14282	2.65766	0.34862	0.96808	0.21482	0.13224	6.8785	0.05752	2.13554	2.01	1349.591	216.6	0.23434	0.11504	6190664	2.79428	0.19704	0.6	0
6.82854	0.08158	4.05714	64.98888	0.24128	0.33716	0.15658	2.66732	0.2617	0.91384	0.23266	0.23448	8.57022	0.07494	1.46488	2.18296	353.05472	195.6	0.2847	0.18232	594505.25	2.7657	0.2257	21.26	1
6.761925	0.0865	5.597675	71.9472	0.243575	0.3306	0.1521	3.707275	0.245	0.926625	0.1318	0.22485	12.97	0.0434	1.595425	2.27025	612.684	194	0.16405	0.174875	534061.3	2.72015	0.207825	37.5	0
7.092375	0.073175	6.720975	58.63813	0.221075	0.388775	0.194775	3.66865	0.1977	0.920575	0.1684	0.308975	13.34515	0.058925	2.156975	2.5158	326.1006	201.25	0.1885	0.228975	134455.7	3.1305	0.18255	27	0
7.727775	0.03665	3.6894	24.3263	0.144725	0.2483	0.1172	2.012975	0.244275	0.9745	0.234075	0.152525	9.820425	0.044325	3.028375	2.3717	1031.97	191.75	0.212325	0.128325	4489841	3.11	0.172875	5.25	1
7.54714	0.03998	3.4842	23.4819	0.14788	0.23132	0.10954	2.19772	0.21758	0.97454	0.23524	0.14984	10.42508	0.0448	3.00962	2.44246	1075.123	192.4	0.22064	0.12634	2990487	3.1467	0.17186	7.8	0
6.89152	0.0824	4.49302	81.9683	0.24212	0.32954	0.14912	2.97312	0.26102	0.94702	0.30638	0.20006	7.58484	0.08818	1.9617	2.22444	409.7499	225.8	0.28576	0.1637	1019081	3.53716	0.20074	16.6	0
6.85104	0.07792	4.33776	53.58766	0.2328	0.32074	0.14766	3.01534	0.24048	0.94358	0.24296	0.19478	7.86958	0.0676	1.81112	2.26102	446.9866	186.6	0.23996	0.15838	824526.9717	2.79408	0.2021	11.6	0
7.296967	0.06306667	7.035	66.11387	0.2024	0.3409	0.1690333	3.637967	0.2078667	0.9322	0.08563333	0.2805667	20.13837	0.03056667	2.145367	2.513867	657.1844	229.6667	0.1243667	0.2027667	272785.4	3.119033	0.2026333	52.33333	0
7.53774	0.04216	3.093	29.74076	0.15816	0.25808	0.1177	1.89346	0.30646	0.96616	0.25856	0.13266	6.63912	0.05334	1.98488	2.07996	962.1775	181.2	0.24374	0.11484	6026558	2.46232	0.202	2.4	1
6.98458	0.07034	7.28512	38.33108	0.21384	0.38724	0.19554	3.84634	0.18146	0.93156	0.16612	0.30846	14.2689	0.05464	2.43216	2.59474	332.62594	202.6	0.16378	0.22848	98127.32126	3.14482	0.17702	24	0
6.993125	0.069975	5.94335	40.46798	0.210525	0.3695	0.1801	3.0653	0.202775	0.934875	0.2134	0.279275	11.16985	0.065525	2.272525	2.4959	295.7163	204.75	0.20485	0.20965	201306.2	3.1551	0.181125	19.75	1
