		sim
243	original_firstorder_Energy	original_glszm_ZonePercentage	0.515695067264574
244	original_firstorder_Energy	original_glszm_ZoneVariance	0.436708860759494
245	original_firstorder_Energy	original_gldm_DependenceEntropy	0.471074380165289
246	original_firstorder_Energy	original_gldm_DependenceNonUniformity	0.493827160493827
247	original_firstorder_Energy	original_gldm_DependenceNonUniformityNormalized	0.361370716510903
248	original_firstorder_Energy	original_gldm_DependenceVariance	0.352941176470588
249	original_firstorder_Energy	original_gldm_GrayLevelNonUniformity	0.453125
250	original_firstorder_Energy	original_gldm_GrayLevelVariance	0.455284552845528
251	original_firstorder_Energy	original_gldm_HighGrayLevelEmphasis	0.407450523864959
252	original_firstorder_Energy	original_gldm_LargeDependenceEmphasis	0.436619718309859
253	original_firstorder_Energy	original_gldm_LargeDependenceHighGrayLevelEmphasis	0.429078014184397
254	original_firstorder_Energy	original_gldm_LargeDependenceLowGrayLevelEmphasis	0.581395348837209
255	original_firstorder_Energy	original_gldm_LowGrayLevelEmphasis	0.418867924528302
256	original_firstorder_Energy	original_gldm_SmallDependenceEmphasis	0.606060606060606
257	original_firstorder_Energy	original_gldm_SmallDependenceHighGrayLevelEmphasis	0.451612903225806
258	original_firstorder_Energy	original_gldm_SmallDependenceLowGrayLevelEmphasis	0.360230547550432
259	original_firstorder_Entropy	original_firstorder_10Percentile	0.166666666666667
260	original_firstorder_Entropy	original_firstorder_90Percentile	0.307692307692308
261	original_firstorder_Entropy	original_firstorder_Energy	0.41025641025641
262	original_firstorder_Entropy	original_firstorder_Entropy	1
263	original_firstorder_Entropy	original_firstorder_InterquartileRange	0.254237288135593
264	original_firstorder_Entropy	original_firstorder_Kurtosis	0.179487179487179
265	original_firstorder_Entropy	original_firstorder_Maximum	0.384615384615385
266	original_firstorder_Entropy	original_firstorder_MeanAbsoluteDeviation	0.448717948717949
267	original_firstorder_Entropy	original_firstorder_Mean	0.0769230769230769
268	original_firstorder_Entropy	original_firstorder_Median	0.232558139534884
269	original_firstorder_Entropy	original_firstorder_Minimum	0.205128205128205
270	original_firstorder_Entropy	original_firstorder_Range	0.294871794871795
271	original_firstorder_Entropy	original_firstorder_RobustMeanAbsoluteDeviation	0.0638297872340425
272	original_firstorder_Entropy	original_firstorder_RootMeanSquared	0.282051282051282
273	original_firstorder_Entropy	original_firstorder_Skewness	0.448717948717949
274	original_firstorder_Entropy	original_firstorder_TotalEnergy	0.41025641025641
275	original_firstorder_Entropy	original_firstorder_Uniformity	0.55
276	original_firstorder_Entropy	original_firstorder_Variance	0.0746268656716418
277	original_firstorder_Entropy	original_glcm_Autocorrelation	0.307692307692308
278	original_firstorder_Entropy	original_glcm_JointAverage	0.153846153846154
279	original_firstorder_Entropy	original_glcm_ClusterProminence	0.0975609756097561
280	original_firstorder_Entropy	original_glcm_ClusterShade	0.134615384615385
281	original_firstorder_Entropy	original_glcm_ClusterTendency	0.0428571428571429
282	original_firstorder_Entropy	original_glcm_Contrast	0.230769230769231
283	original_firstorder_Entropy	original_glcm_Correlation	0.0540540540540541
284	original_firstorder_Entropy	original_glcm_DifferenceAverage	0.192307692307692
285	original_firstorder_Entropy	original_glcm_DifferenceEntropy	0.153846153846154
286	original_firstorder_Entropy	original_glcm_DifferenceVariance	0.435897435897436
287	original_firstorder_Entropy	original_glcm_JointEnergy	0.217948717948718
288	original_firstorder_Entropy	original_glcm_JointEntropy	0.217948717948718
289	original_firstorder_Entropy	original_glcm_Imc1	0.146341463414634
290	original_firstorder_Entropy	original_glcm_Imc2	0.371794871794872
291	original_firstorder_Entropy	original_glcm_Idm	0.230769230769231
292	original_firstorder_Entropy	original_glcm_Idmn	0.0769230769230769
293	original_firstorder_Entropy	original_glcm_Id	0.269230769230769
294	original_firstorder_Entropy	original_glcm_Idn	0
295	original_firstorder_Entropy	original_glcm_InverseVariance	0.564102564102564
296	original_firstorder_Entropy	original_glcm_MaximumProbability	0.121212121212121
297	original_firstorder_Entropy	original_glcm_SumEntropy	0.538461538461538
298	original_firstorder_Entropy	original_glcm_SumSquares	0.159420289855072
299	original_firstorder_Entropy	original_glrlm_GrayLevelNonUniformity	0.272727272727273
300	original_firstorder_Entropy	original_glrlm_GrayLevelNonUniformityNormalized	0.538461538461538
301	original_firstorder_Entropy	original_glrlm_GrayLevelVariance	0.0888888888888889
302	original_firstorder_Entropy	original_glrlm_HighGrayLevelRunEmphasis	0.243589743589744
303	original_firstorder_Entropy	original_glrlm_LongRunEmphasis	0.0769230769230769
304	original_firstorder_Entropy	original_glrlm_LongRunHighGrayLevelEmphasis	0.206896551724138
305	original_firstorder_Entropy	original_glrlm_LongRunLowGrayLevelEmphasis	0.320512820512821
306	original_firstorder_Entropy	original_glrlm_LowGrayLevelRunEmphasis	0.0641025641025641
307	original_firstorder_Entropy	original_glrlm_RunEntropy	0.564102564102564
308	original_firstorder_Entropy	original_glrlm_RunLengthNonUniformity	0.153846153846154
309	original_firstorder_Entropy	original_glrlm_RunLengthNonUniformityNormalized	0.140845070422535
310	original_firstorder_Entropy	original_glrlm_RunPercentage	0.0512820512820513
311	original_firstorder_Entropy	original_glrlm_RunVariance	0.136363636363636
312	original_firstorder_Entropy	original_glrlm_ShortRunEmphasis	0.320512820512821
313	original_firstorder_Entropy	original_glrlm_ShortRunHighGrayLevelEmphasis	0.628205128205128
314	original_firstorder_Entropy	original_glrlm_ShortRunLowGrayLevelEmphasis	0.371794871794872
315	original_firstorder_Entropy	original_glszm_GrayLevelNonUniformity	0.0641025641025641
316	original_firstorder_Entropy	original_glszm_GrayLevelNonUniformityNormalized	0.256410256410256
317	original_firstorder_Entropy	original_glszm_GrayLevelVariance	0.269230769230769
318	original_firstorder_Entropy	original_glszm_HighGrayLevelZoneEmphasis	0.294871794871795
319	original_firstorder_Entropy	original_glszm_LargeAreaEmphasis	0.230769230769231
320	original_firstorder_Entropy	original_glszm_LargeAreaHighGrayLevelEmphasis	0.320512820512821
